time,kinetic_energy,gravitational_potential_energy,total_energy,viscous_dissipation,cumulative_dissipation_midpoint,energy_balance_residual,energy_balance_relative,step_energy_residual,max_step_energy_residual,max_step_energy_increase,divergence_l2,velocity_gradient_l2,divergence_relative,weak_divergence_l2,surface_integral,volume_error,eta_left,eta_right,contact_error,max_slope,slope_left,slope_right,left_u_max,left_w_max,right_u_max,right_w_max,bottom_u_max,bottom_w_max
0.0,0.0,0.003987634663999197,0.003987634663999197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.505213034913027e-19,0.0,-0.03492076949174773,0.03492076949174773,0.0,0.034920769491749,0.034920769491746634,0.03492076949174599,0.0,0.0,0.0,0.0,0.0,0.0
0.025,3.819288995820302e-05,0.003948760578491691,0.003986953468449894,6.886316164686826e-05,6.811955493018986e-07,-8.673617379884035e-19,-2.175128393328106e-16,-7.032755742374846e-19,1.0315273110781276e-18,0.0,0.0031818017888312357,0.08036526184185973,0.03959175539168013,1.868822037719497e-15,2.439454888092385e-19,4.0657581468206416e-19,-0.03492076949174773,0.03492076949174773,0.0,0.07718151548395791,0.07718151548395726,0.07718151548395791,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.00014863725898173023,0.0038350988716755654,0.003983736130657296,0.00019543462335041417,3.898533341900175e-06,-8.673617379884035e-19,-2.175128393328106e-16,-4.206577374301669e-19,1.1852902607843848e-18,0.0,0.004972390447349372,0.13458077399753154,0.03694725702380471,2.60357478257309e-15,-5.149960319306146e-19,1.1655173354219173e-18,-0.03492076949174773,0.03492076949174773,0.0,0.16215157541695369,0.16215157541695369,0.16215157541695305,0.0,0.0,0.0,0.0,0.0,0.0
0.075,0.0003243395071302555,0.0036525776713843524,0.0039769171785146076,0.0003543039006690369,1.071748548458799e-05,-1.734723475976807e-18,-4.350256786656212e-16,-6.795321819347624e-19,1.1852902607843848e-18,0.0,0.006520441674469899,0.1804462046364074,0.03613510014027923,3.3902458007185965e-15,-1.0842021724855044e-18,1.734723475976807e-18,-0.03492076949174773,0.03492076949174773,0.0,0.2801781079113643,0.2801781079113643,0.2801781079113643,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0005565011159884429,0.0034093654318360237,0.0039658665478244665,0.0005320548963716476,2.1768116174729137e-05,-1.734723475976807e-18,-4.350256786656212e-16,-4.65444604516238e-19,1.1852902607843848e-18,0.0,0.00799107687553833,0.22037388413280376,0.03626145133750365,4.083328419581357e-15,-1.4365678785432934e-18,2.087089182034596e-18,-0.03492076949174773,0.03492076949174773,0.0,0.4291187158779917,0.42911871587799105,0.4291187158779917,0.0,0.0,0.0,0.0,0.0,0.0
